actor,character,season,episode
Nichelle Nichols,Uhura,1,27
Richard Derr,Commodore Barstow,1,27
Arch Whiting,Assistant Engineer,1,27
Christian Patrick,Transporter Chief,1,27
Eddie Paskey,Lt. Leslie,1,27
Bill Blackburn,Lt. Hadley (uncredited),1,27
Vince Calenti,Security Guard (uncredited),1,27
Bill Catching,Anti-Matter Lazarus Being #2 (uncredited),1,27
Frank da Vinci,Crewman (uncredited),1,27
Tom Lupo,Security Guard (uncredited),1,27
Ron Veto,Security Guard (uncredited),1,27
Al Wyatt Sr.,Anti-Matter Lazarus Being #1 (uncredited),1,27
William Shatner,Captain James T. Kirk,1,28
Leonard Nimoy,Mr. Spock,1,28
Joan Collins,Sister Edith Keeler,1,28
DeForest Kelley,Dr. McCoy,1,28
James Doohan,Scott,1,28
George Takei,Sulu,1,28
Nichelle Nichols,Uhura,1,28
John Harmon,Rodent,1,28
Hal Baylor,Policeman,1,28
David L. Ross,Lt. Galloway,1,28
John Winston,Lt. Kyle,1,28
Bart La Rue,Guardian (voice) (as Bartell La Rue),1,28
Bill Blackburn,Lt. Hadley (uncredited),1,28
Noble 'Kid' Chissell,Server (uncredited),1,28
Carey Loftin,Truck Driver (uncredited),1,28
Eddie Paskey,Lt. Leslie (uncredited),1,28
William Shatner,Captain James T. Kirk,1,29
William Shatner,Sam Kirk,1,29
Leonard Nimoy,Mr. Spock,1,29
DeForest Kelley,Dr. McCoy,1,29
James Doohan,Scott,1,29
Joan Swift,Aurelan,1,29
Maurishka,Yeoman Zahra,1,29
Majel Barrett,Nurse Christine Chapel,1,29
George Takei,Sulu,1,29
Nichelle Nichols,Uhura,1,29
Craig Huxley,Peter Kirk (as Craig Hundley),1,29
Fred Carson,First Denevan,1,29
Jerry Catron,Second Denevan,1,29
David Armstrong,Kartan (uncredited),1,29
Bill Blackburn,Lt. Hadley (uncredited),1,29
Frank da Vinci,Guard (uncredited),1,29
Jeannie Malone,Yeoman (uncredited),1,29
Eddie Paskey,Lt. Leslie (uncredited),1,29
Ron Veto,Harrison (uncredited),1,29
William Shatner,Captain James T. Kirk,2,1
Leonard Nimoy,Mr. Spock,2,1
DeForest Kelley,Dr. McCoy,2,1
